class,precision,recall,f1_score,support
  >50K, 0.88,0.87,0.88,4938
 <=50K, 0.61,0.64,0.62,1574
,,,   0.81,6512
  >50K, 0.88,0.87,0.87,6160
 <=50K, 0.61,0.64,0.62,1980
,,,   0.81,8140
  >50K, 0.88,0.87,0.87,7385
 <=50K, 0.60,0.63,0.62,2383
,,,   0.81,9768
  >50K, 0.89,0.87,0.88,8647
 <=50K, 0.61,0.65,0.63,2749
  >50K, 0.88,0.87,0.88,9868
 <=50K, 0.61,0.62,0.62,3156
 <=50K, 0.61,0.62,0.61,3573
 <=50K, 0.61,0.62,0.62,3991
 <=50K, 0.61,0.63,0.62,4355
