DP,2,
PROPN,430,
X,19,
PUNCT,48,
ADP,13,
ADV,4,
NOUN,66,
DET,18,
NTJ,1,
PRON,6,
ADJ,7,
ROPN,10,
ET,1,
VERB,17,
ERB,1,
NUM,4,
INTJ,6,
AUX,1,
SCONJ,1,
