class,precision,recall,f1_score,support
 <=50K, 0.80,0.96,0.87,4938
  >50K, 0.64,0.25,0.36,1574
,,,   0.79,6512
 <=50K, 0.80,0.96,0.87,6160
  >50K, 0.65,0.26,0.37,1980
,,,   0.79,8140
 <=50K, 0.80,0.96,0.87,7385
  >50K, 0.66,0.25,0.37,2383
,,,   0.79,9768
 <=50K, 0.80,0.96,0.87,8647
  >50K, 0.66,0.25,0.37,2749
 <=50K, 0.80,0.96,0.87,9868
  >50K, 0.66,0.25,0.36,3156
  >50K, 0.66,0.24,0.35,3573
  >50K, 0.66,0.24,0.35,3991
  >50K, 0.65,0.25,0.36,4355
