id,Sexo,Carrera,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,MS,MP,ML,EsS,EsP,EsL,ES,EP,EL,Enfo
22,M,IFI,1,5,5,2,4,5,5,5,5,1,5,4,3,3,5,5,5,3,4,5,4,1,5,2,1,2,3,5,5,5,1,3,5,3,5,5,3,5,2,1,5,5,2.571428571,4,4.142857143,2.571428571,4.857142857,4.142857143,2.5714,4.4286,4.1429,EP
23,F,IA,5,2,4,3,3,1,5,4,5,4,4,2,3,4,1,1,2,3,5,3,3,4,3,2,4,3,4,5,1,2,1,5,2,3,1,2,3,5,4,4,4,3,3.714285714,3.714285714,3.285714286,3.428571429,2.571428571,2.142857143,3.5714,3.1429,2.7143,ES
24,F,LAD,2,4,3,4,5,1,4,5,5,2,5,1,5,5,5,2,5,4,5,4,2,4,5,2,5,5,1,5,5,4,5,5,2,4,2,4,5,5,1,2,5,5,4.428571429,4.714285714,2.714285714,3.285714286,4.571428571,3,3.8571,4.6429,2.8571,EP
25,M,ITI,5,2,5,1,2,4,5,5,5,5,4,3,5,1,5,1,3,5,5,1,5,2,3,3,3,5,3,3,3,3,3,3,5,3,3,5,2,4,1,3,3,1,4,3,4.142857143,2.571428571,3,3.428571429,3.2857,3.0000,3.7857,EL
26,F,LAF,4,4,5,3,2,2,3,3,5,4,3,1,4,5,4,3,4,2,3,1,2,3,3,1,3,4,3,4,2,2,4,5,2,2,1,2,5,5,2,2,3,5,3.714285714,3.857142857,3.285714286,3,2.571428571,2.142857143,3.3571,3.2143,2.7143,ES
27,F,ITI,1,5,4,1,3,1,4,5,4,3,4,2,5,3,4,2,3,3,4,3,5,2,5,1,2,5,1,5,2,2,5,5,4,1,2,2,5,5,2,1,5,2,3.714285714,4.428571429,3.428571429,2.142857143,3.428571429,1.857142857,2.9286,3.9286,2.6429,EP
28,M,Isc,3,4,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,2,3,2,5,5,3,2,3,4,1,1,4,3,4,3,5,1,2,3,1,1,5,3.571428571,4,3.428571429,3.714285714,3.285714286,4.428571429,3.6429,3.6429,3.9286,EL
29,F,ITI,4,3,5,2,1,4,3,2,5,1,5,4,5,5,5,4,3,5,4,3,4,4,5,4,3,4,5,4,5,3,5,4,5,4,5,5,4,3,5,4,4,5,4,3.428571429,4.857142857,3.285714286,4,4.285714286,3.6429,3.7143,4.5714,EL
30,M,ITC,4,4,4,2,5,3,5,5,5,5,4,2,5,4,3,3,4,2,3,4,5,1,4,2,2,3,2,5,4,3,2,3,4,4,2,4,5,5,2,1,5,4,3.714285714,4,3.571428571,3,4,2.857142857,3.3571,4.0000,3.2143,EP
31,M,ISC,1,4,4,3,1,1,5,4,3,4,2,2,5,5,5,3,4,5,5,2,3,3,4,1,2,3,1,5,3,2,5,4,3,3,2,1,5,5,2,3,3,3,4,3.857142857,3,3.428571429,2.714285714,2.142857143,3.7143,3.2857,2.5714,ES
