,Sexo,Carrera,MS,MP,ML,EsS,EsP,EsL,ES,EP,EL,Enfo,Mes
47,M,LIN,3.714285714,3.857142857,3.714285714,3.0,3.0,3.285714286,3.3571,3.4286,3.5,EL,Mayo
48,M,ITI,3.0,3.0,3.0,3.0,3.142857143,3.0,3.0,3.0714,3.0,EP,Mayo
49,M,IID,1.857142857,3.0,2.5714285709999998,2.857142857,3.285714286,2.0,2.3571,3.1429,2.2857,EP,Mayo
50,M,ITC,2.714285714,2.857142857,2.142857143,3.285714286,4.0,1.714285714,3.0,3.4286,1.9286,EP,Mayo
51,F,ITI,4.1428571430000005,4.428571429,2.714285714,2.857142857,3.142857143,2.0,3.5,3.7857,2.3571,EP,Mayo
52,M,Imt,3.0,3.714285714,3.571428571,3.142857143,3.571428571,2.5714285709999998,3.0714,3.6429,3.0714,EP,Mayo
53,F,IMT,4.571428571,4.714285714,3.714285714,3.714285714,3.571428571,2.285714286,4.1429,4.1429,3.0,ES,Mayo
0,M,ISC,4.285714286,4.0,2.857142857,3.571428571,3.571428571,3.571428571,3.9286,3.7857,3.2143,ES,Julio
1,M,ISC,4.428571429,3.571428571,2.714285714,2.857142857,3.714285714,1.428571429,3.6429,3.6429,2.0714,ES,Julio
2,M,Isc,3.285714286,2.0,2.0,2.5714285709999998,2.142857143,2.0,2.9286,2.0714,2.0,ES,Julio
3,M,IME,3.571428571,3.857142857,3.571428571,2.714285714,4.428571429,3.142857143,3.1429,4.1429,3.3571,EP,Julio
4,M,ISC,3.714285714,3.0,3.857142857,2.857142857,3.142857143,3.571428571,3.2857,3.0714,3.7143,EL,Julio
5,M,ITI,3.0,3.571428571,2.714285714,3.0,3.142857143,2.5714285709999998,3.0,3.3571,2.6429,EP,Julio
6,M,LED,3.857142857,4.571428571,4.0,3.428571429,4.0,3.857142857,3.6429,4.2857,3.9286,EP,Julio
